"trip"	"site"	"gut.id"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"397"	"GC20130404"	"III"	567	0	0	21	0	0	0	0
"398"	"GC20130404"	"III"	570	0	0	0	0	78	0	0
"399"	"GC20130404"	"III"	573	0	0	2	0	28	18	0
"400"	"GC20130404"	"III"	575	0	0	0	39	0	0	0
"401"	"GC20130404"	"III"	578	0	0	539	0	183	90	0
"402"	"GC20130404"	"III"	581	0	0	0	0	299	123	0
"403"	"GC20130404"	"III"	583	0	0	0	13	85	0	0
"404"	"GC20130404"	"III"	585	0	0	0	0	140	180	0
"405"	"GC20130404"	"III"	586	0	0	0	0	99	68	0
"406"	"GC20130404"	"III"	603	0	0	0	0	0	64	0
"407"	"GC20130404"	"III"	604	0	0	0	0	0	129	0
"408"	"GC20130404"	"III"	614	0	0	0	0	298	158	0
"409"	"GC20130404"	"IVa"	523	0	0	209	31	0	27	0
"410"	"GC20130404"	"IVa"	524	0	0	81	6	0	0	0
"411"	"GC20130404"	"IVa"	535	0	0	758	0	0	0	0
"412"	"GC20130404"	"IVa"	537	0	0	337	160	0	0	0
"413"	"GC20130404"	"IVa"	538	0	0	269	318	0	0	0
"414"	"GC20130404"	"IVa"	549	0	0	0	0	62	0	0
"415"	"GC20130404"	"IVa"	550	0	0	0	0	0	0	0
"416"	"GC20130404"	"IVa"	551	0	0	0	0	0	57	0
